employee_id,name,gender,department,job_role,age,job_level,performance_rating,job_satisfaction,job_involvement,environment_satisfaction,monthly_income,percent_salary_hike,stock_option_level,years_at_company,years_in_current_role,total_working_years,distance_from_home,business_travel,over_time,attrition
EMP_01840,Ashley Hill,Female,Supply Chain,Logistics Manager,31,1,2,2,1,2,4609,15,0,4,2,8,17,Travel_Frequently,Yes,Yes
EMP_01508,Emily Williams,Female,Operations,Quality Specialist,32,3,2,2,3,2,7615,22,1,6,0,10,4,Travel_Frequently,No,No
EMP_00202,Charles White,Female,Research & Development,R&D Engineer,45,3,3,2,3,3,6070,23,1,12,2,12,17,Travel_Rarely,No,No
EMP_00995,Robert Young,Female,Legal,Contract Specialist,30,2,3,4,3,4,9303,18,2,6,3,6,5,Travel_Rarely,No,No
EMP_01530,David Harris,Male,Research & Development,R&D Engineer,31,4,4,1,3,1,4958,16,2,6,3,6,7,Travel_Rarely,Yes,No
EMP_01916,Nancy Moore,Female,Research & Development,Innovation Specialist,44,1,3,1,1,2,3732,15,0,1,1,17,18,Non-Travel,Yes,Yes
EMP_01918,Christopher Lee,Male,Sales,Sales Manager,22,2,1,3,1,1,4944,11,0,0,0,1,19,Travel_Frequently,No,Yes
EMP_01296,Michelle Scott,Female,Customer Service,Support Specialist,27,3,2,3,3,2,9418,22,1,6,3,6,20,Non-Travel,Yes,No
EMP_00532,Emily Gonzalez,Male,Marketing,Digital Marketing,37,2,4,3,2,4,6836,17,2,3,1,6,3,Non-Travel,No,No
EMP_00950,Kenneth Hernandez,Male,Administration,Executive Assistant,33,2,3,3,4,2,14918,14,1,9,3,12,9,Travel_Rarely,No,No
EMP_01479,Sandra Sanchez,Male,Supply Chain,Procurement Specialist,30,4,3,4,1,2,9265,19,2,9,5,9,17,Travel_Rarely,Yes,No
EMP_01320,Jessica Brown,Male,Product,Product Manager,42,2,3,3,2,2,6157,16,0,5,5,6,11,Travel_Rarely,No,No
EMP_01070,William Wright,Female,Product,UX Designer,24,1,2,3,3,4,4121,18,0,7,3,7,19,Travel_Rarely,Yes,Yes
EMP_00308,Emily Jones,Female,Administration,Office Manager,32,4,3,3,3,3,9325,20,2,6,3,9,15,Non-Travel,No,No
EMP_01369,Ashley Nelson,Male,Product,Product Manager,38,3,3,2,4,3,10961,16,0,4,2,16,22,Travel_Rarely,Yes,No
EMP_01559,Sandra Lee,Male,Human Resources,HR Specialist,45,3,3,4,3,3,4746,21,3,2,1,8,2,Non-Travel,No,No
EMP_00057,Michelle Taylor,Male,Customer Service,Service Manager,37,3,3,4,3,2,7458,13,2,5,1,13,16,Non-Travel,No,No
EMP_00822,Daniel Clark,Female,Quality Assurance,Test Analyst,29,3,3,3,2,4,12971,14,3,3,2,8,4,Non-Travel,No,No
EMP_01251,Ronald Lee,Male,Marketing,Digital Marketing,44,3,3,3,2,2,8386,12,0,10,5,21,11,Travel_Rarely,No,No
EMP_00859,Karen Perez,Male,Operations,Quality Specialist,29,4,4,3,3,4,11999,22,0,6,1,9,8,Travel_Rarely,Yes,No
EMP_00351,Richard King,Female,Quality Assurance,Test Analyst,45,4,2,4,3,3,14711,20,2,11,10,12,13,Travel_Rarely,No,No
EMP_00068,Andrew Lewis,Male,Marketing,Content Manager,47,4,4,4,4,3,10760,22,1,19,5,27,5,Travel_Frequently,No,No
EMP_00715,Jason Anderson,Male,Finance,Treasury Analyst,50,4,4,4,4,3,14730,22,2,20,9,29,15,Travel_Rarely,No,No
EMP_00107,Christopher Brown,Male,Administration,Administrative Coordinator,43,3,3,3,4,3,12746,13,1,6,4,16,20,Non-Travel,No,No
EMP_00944,George Nguyen,Male,Engineering,Data Engineer,45,4,3,4,4,3,13284,18,0,19,2,25,17,Travel_Rarely,No,No
EMP_00584,Sandra Wright,Female,Supply Chain,Procurement Specialist,37,4,3,4,3,3,14035,12,1,8,3,15,11,Travel_Rarely,No,No
EMP_01050,Dorothy Davis,Male,Quality Assurance,QA Engineer,33,2,3,3,4,4,10205,13,1,9,3,10,18,Travel_Rarely,No,Yes
EMP_00751,Ashley Hernandez,Male,Customer Service,Service Manager,31,3,3,4,4,4,7287,21,0,6,5,6,13,Non-Travel,No,No
EMP_00438,Brian Rodriguez,Female,Quality Assurance,Quality Manager,36,3,4,3,4,3,14405,13,0,3,1,8,5,Travel_Rarely,No,No
EMP_00879,Joshua Adams,Female,Marketing,Content Manager,34,2,4,2,3,2,9546,24,1,5,2,11,5,Travel_Frequently,No,No
EMP_01280,Timothy Hill,Male,Operations,Logistics Coordinator,42,1,2,2,1,3,4816,11,3,5,5,20,1,Travel_Rarely,No,No
EMP_01876,Margaret Thomas,Male,IT,IT Specialist,29,2,2,1,2,1,6625,12,0,5,2,5,20,Travel_Frequently,Yes,Yes
EMP_00870,David Nguyen,Female,Legal,Paralegal,50,4,3,3,4,4,11565,15,1,18,3,29,20,Travel_Frequently,No,No
EMP_01851,Mary Hernandez,Female,Supply Chain,Procurement Specialist,42,1,2,1,2,2,4209,11,0,1,0,6,24,Travel_Frequently,Yes,Yes
EMP_01745,Michael Wilson,Male,Finance,Financial Analyst,38,2,3,2,2,1,4654,14,0,0,0,14,24,Non-Travel,Yes,Yes
EMP_00516,Lisa Lee,Male,Human Resources,Recruiter,28,4,4,4,3,3,11386,20,1,5,2,5,18,Non-Travel,No,No
EMP_00886,Timothy Davis,Female,Engineering,Data Engineer,36,2,4,4,4,3,11189,16,1,13,9,14,2,Travel_Rarely,No,No
EMP_01551,Ashley Martin,Male,Quality Assurance,Quality Manager,26,1,3,1,2,2,4731,19,1,2,1,4,13,Travel_Rarely,No,No
EMP_00082,Sharon Gonzalez,Female,Operations,Process Engineer,38,3,3,3,3,3,6079,17,1,12,5,17,8,Travel_Rarely,No,No
EMP_01782,Jennifer White,Male,Product,Product Manager,30,2,2,2,1,2,3558,11,1,0,0,2,28,Travel_Frequently,Yes,Yes
EMP_00061,Rebecca Clark,Female,Engineering,Software Engineer,36,4,3,4,3,3,11542,20,1,13,6,13,20,Non-Travel,No,No
EMP_01196,Deborah Lee,Male,Customer Service,Service Manager,28,2,2,3,3,4,8559,11,1,3,1,3,15,Travel_Rarely,No,No
EMP_00158,Lisa Wilson,Female,Human Resources,Recruiter,37,4,3,3,3,2,14422,13,1,7,5,12,12,Travel_Rarely,No,No
EMP_01189,Michael Jones,Male,Sales,Sales Manager,30,2,3,2,2,2,6821,16,0,6,0,7,11,Non-Travel,Yes,No
EMP_01976,Joseph King,Female,Administration,Receptionist,36,2,2,2,2,2,3556,10,1,4,0,10,13,Non-Travel,Yes,Yes
EMP_01985,Dorothy Johnson,Male,Quality Assurance,Test Analyst,27,2,2,1,1,1,4393,10,0,4,3,7,28,Travel_Frequently,Yes,Yes
EMP_00403,Ronald Green,Female,Administration,Office Manager,38,2,2,4,3,4,14907,13,2,6,1,7,1,Travel_Rarely,No,No
EMP_00776,Daniel Rivera,Male,Quality Assurance,QA Lead,34,4,4,4,4,4,6966,18,2,4,2,7,3,Travel_Rarely,No,No
EMP_01261,Nancy Taylor,Female,Human Resources,Training Manager,43,3,4,2,1,4,4261,20,0,6,6,7,9,Travel_Rarely,No,No
EMP_00604,Kevin Williams,Female,Quality Assurance,Quality Manager,49,2,4,4,2,3,10959,18,0,5,3,22,16,Travel_Rarely,No,No
EMP_00209,Mary Hall,Male,Customer Service,Service Representative,55,2,3,4,2,3,10467,17,1,11,3,29,12,Non-Travel,No,No
EMP_00259,Margaret Adams,Female,Supply Chain,Logistics Manager,53,4,2,3,3,3,14063,13,2,8,4,17,16,Travel_Rarely,No,No
EMP_01482,Susan Miller,Female,Engineering,Data Engineer,32,2,4,3,4,3,8650,22,0,4,2,8,20,Travel_Rarely,Yes,No
EMP_00402,Ronald Gonzalez,Female,Administration,Executive Assistant,53,5,2,4,3,3,7631,23,2,16,3,28,17,Non-Travel,No,No
EMP_01396,Linda Young,Male,Administration,Executive Assistant,32,1,4,3,3,2,6461,12,1,3,2,8,8,Non-Travel,No,No
EMP_00626,Sarah Taylor,Female,Human Resources,HR Specialist,36,3,3,4,4,4,9352,14,0,9,2,13,13,Travel_Rarely,No,No
EMP_00170,Jessica Martin,Male,Customer Service,Service Representative,43,3,3,3,4,3,8744,12,2,17,9,20,20,Travel_Rarely,No,No
EMP_00590,Donna Davis,Female,Administration,Office Manager,30,2,3,2,3,2,6623,25,1,7,7,10,3,Travel_Rarely,Yes,No
EMP_00557,Richard Nelson,Female,Supply Chain,Inventory Manager,30,2,3,2,4,4,7970,20,2,5,4,10,5,Travel_Frequently,No,No
EMP_01425,Rebecca King,Female,Sales,Sales Manager,35,2,2,2,2,1,7561,17,1,5,4,13,24,Travel_Rarely,No,No
EMP_00344,Sandra Miller,Male,IT,IT Manager,48,2,3,4,4,3,12640,25,2,16,5,25,13,Travel_Rarely,No,No
EMP_01650,Nancy Williams,Male,Legal,Paralegal,36,3,2,2,4,2,6168,11,3,4,1,4,1,Travel_Rarely,Yes,No
EMP_01380,Charles Hill,Male,Human Resources,HR Specialist,41,3,3,1,2,2,10581,16,2,4,4,13,16,Travel_Rarely,Yes,Yes
EMP_01077,Elizabeth Lopez,Female,Administration,Administrative Coordinator,50,1,2,3,3,2,8628,13,1,9,2,9,15,Travel_Rarely,No,No
EMP_00382,Melissa Clark,Male,Supply Chain,Procurement Specialist,43,4,3,3,3,4,6216,16,0,7,6,23,2,Travel_Frequently,No,No
EMP_01751,Barbara Moore,Female,Customer Service,Support Specialist,36,2,1,2,1,2,4104,14,0,2,2,4,19,Travel_Frequently,No,Yes
EMP_00785,Joshua Thomas,Female,Product,Product Manager,54,2,4,3,3,4,7533,12,2,13,2,27,19,Non-Travel,Yes,No
EMP_01841,Elizabeth Clark,Female,IT,System Administrator,26,3,3,3,3,3,6846,13,0,3,1,5,11,Travel_Frequently,Yes,Yes
EMP_01321,Donald Perez,Male,Human Resources,Recruiter,37,1,3,4,3,1,4490,22,0,7,0,7,10,Travel_Rarely,Yes,No
EMP_00328,William Hall,Female,Research & Development,Innovation Specialist,48,2,2,2,3,3,7806,19,2,12,7,17,7,Non-Travel,No,No
EMP_00515,Donna Ramirez,Female,Quality Assurance,QA Lead,36,3,2,3,2,3,12788,22,0,11,1,15,9,Travel_Rarely,No,No
EMP_00342,Michael Miller,Female,Operations,Operations Manager,29,3,3,2,4,3,7946,15,1,3,3,8,10,Travel_Rarely,Yes,No
EMP_00116,Jeffrey Smith,Male,Sales,Account Executive,28,3,4,3,3,4,6519,17,0,6,2,7,5,Non-Travel,No,No
EMP_01293,Jessica Williams,Male,Finance,Treasury Analyst,50,3,3,2,3,3,6799,22,1,1,0,16,8,Travel_Rarely,Yes,No
EMP_00091,Christopher Baker,Female,Operations,Logistics Coordinator,46,3,2,3,4,3,12877,25,0,5,2,17,4,Non-Travel,Yes,No
EMP_01942,Betty Gonzalez,Female,Engineering,Technical Lead,37,3,2,2,1,1,5762,13,1,1,1,4,20,Travel_Rarely,Yes,Yes
EMP_00064,David Hill,Female,Research & Development,R&D Engineer,48,4,4,4,3,4,13751,23,2,17,6,22,15,Non-Travel,No,No
EMP_01975,Donna Torres,Female,Finance,Finance Manager,29,1,3,3,1,1,3299,10,1,2,2,5,15,Travel_Frequently,Yes,Yes
EMP_01939,Jennifer Anderson,Male,Engineering,Senior Engineer,41,1,2,3,1,2,5200,12,0,2,0,21,29,Travel_Frequently,Yes,Yes
EMP_00817,Sandra Flores,Female,Finance,Treasury Analyst,40,3,3,3,4,2,8208,23,2,12,2,17,6,Non-Travel,No,No
EMP_01163,Mary Martinez,Male,Research & Development,R&D Engineer,42,4,2,4,2,3,9699,12,1,1,1,16,16,Travel_Rarely,Yes,No
EMP_00610,Brian Thomas,Male,Product,Product Analyst,37,2,3,4,2,4,13046,13,2,15,3,15,15,Non-Travel,No,No
EMP_00529,Christopher Thompson,Male,Legal,Compliance Officer,44,4,4,3,3,3,7060,17,1,14,7,21,7,Non-Travel,No,No
EMP_01099,Edward Rodriguez,Male,Engineering,Senior Engineer,43,2,3,1,3,2,4348,19,2,8,2,12,20,Travel_Rarely,Yes,No
EMP_01412,Ashley Green,Male,IT,Network Engineer,50,3,3,3,3,4,9780,16,1,8,3,10,22,Travel_Frequently,Yes,No
EMP_01387,Susan Walker,Female,Finance,Finance Manager,35,2,3,3,2,2,8723,14,0,5,5,10,11,Travel_Rarely,Yes,No
EMP_00175,Deborah Ramirez,Female,Customer Service,Customer Success Manager,36,3,3,4,3,4,9193,20,1,4,3,14,6,Travel_Rarely,No,No
EMP_01761,Laura Moore,Male,Supply Chain,Inventory Manager,23,1,2,1,2,1,3325,10,1,2,2,3,21,Non-Travel,No,Yes
EMP_00104,Ryan Davis,Female,Customer Service,Service Representative,28,2,3,4,3,3,10413,19,3,4,4,8,11,Travel_Rarely,No,No
EMP_01702,Donald Allen,Male,Sales,Sales Manager,37,3,2,1,1,1,6224,11,0,2,0,6,21,Travel_Rarely,Yes,Yes
EMP_01339,Jennifer Adams,Male,Quality Assurance,QA Lead,44,1,3,2,4,2,4104,17,2,9,3,9,10,Travel_Frequently,No,No
EMP_00683,Ashley Wilson,Female,Product,Product Manager,39,3,2,4,4,3,14152,19,2,5,4,8,13,Travel_Rarely,Yes,No
EMP_01606,Kimberly Wright,Female,IT,IT Specialist,48,2,4,4,3,3,10439,21,1,4,2,23,21,Non-Travel,No,No
EMP_00238,Nancy Rodriguez,Female,Supply Chain,Inventory Manager,42,2,3,3,3,2,12022,14,1,18,3,20,13,Travel_Frequently,Yes,No
EMP_00312,John Jones,Female,IT,Network Engineer,51,2,3,4,2,4,13606,19,1,15,4,27,3,Travel_Rarely,No,No
EMP_00913,Jessica Rodriguez,Male,Engineering,Senior Engineer,28,3,4,3,2,4,9660,21,0,3,2,5,1,Non-Travel,No,No
EMP_00705,Paul Lopez,Female,Supply Chain,Supply Chain Analyst,43,3,3,3,3,4,13812,18,1,19,2,23,16,Non-Travel,Yes,No
EMP_01265,Stephanie Hernandez,Female,Customer Service,Support Specialist,38,3,4,4,2,3,8289,16,1,5,1,13,17,Non-Travel,Yes,No
EMP_00269,Amanda Rivera,Male,Quality Assurance,Quality Manager,44,3,2,4,3,2,12974,25,1,10,2,15,3,Non-Travel,Yes,No
EMP_01165,Jason Miller,Male,Engineering,Data Engineer,40,3,3,4,1,2,4690,16,0,6,4,6,3,Travel_Rarely,No,Yes
EMP_00111,David Adams,Female,Finance,Financial Analyst,35,2,4,2,4,4,11328,25,1,7,4,9,18,Travel_Frequently,No,No
EMP_00523,Sharon Johnson,Male,Legal,Paralegal,42,5,4,4,3,2,11427,25,3,10,10,17,6,Non-Travel,No,No
EMP_01363,Lisa Martin,Female,Engineering,Technical Lead,24,3,4,3,1,3,8036,21,1,8,0,8,24,Travel_Frequently,Yes,No
EMP_01817,Paul Robinson,Male,Human Resources,Recruiter,30,2,1,1,3,1,5985,15,0,5,2,8,27,Non-Travel,Yes,Yes
EMP_00231,John Taylor,Female,Product,Product Owner,48,2,4,3,3,2,12668,17,2,4,4,4,3,Travel_Rarely,Yes,No
EMP_01741,Jennifer King,Male,Product,Product Owner,25,2,2,1,1,2,5533,12,0,0,0,3,12,Travel_Frequently,Yes,Yes
EMP_00305,Patricia Nelson,Female,Customer Service,Support Specialist,41,3,3,2,4,4,8518,17,2,16,7,21,20,Travel_Frequently,No,No
EMP_01974,Brian Perez,Female,Administration,Executive Assistant,27,3,2,2,1,1,4213,12,1,1,0,1,10,Travel_Rarely,Yes,Yes
EMP_01505,Donna Taylor,Male,Engineering,Technical Lead,26,3,3,1,3,3,7001,12,3,7,2,7,7,Non-Travel,Yes,No
EMP_00368,Donna Allen,Female,Research & Development,Innovation Specialist,40,2,3,3,2,4,14401,19,1,11,4,13,17,Non-Travel,Yes,No
EMP_01827,Emily Thompson,Male,Quality Assurance,Quality Manager,34,2,1,1,1,1,4914,14,0,1,1,3,19,Travel_Rarely,Yes,Yes
EMP_00713,Daniel Hernandez,Male,Quality Assurance,QA Engineer,51,2,3,2,3,4,6515,13,2,8,4,14,7,Travel_Rarely,No,No
EMP_01159,Mark Moore,Male,Sales,Account Executive,47,2,3,3,1,4,9032,12,1,8,3,25,21,Travel_Rarely,Yes,No
EMP_00576,William Baker,Female,Sales,Sales Manager,46,3,4,2,3,4,11076,20,2,11,1,26,10,Travel_Rarely,No,No
EMP_00009,David Miller,Male,Customer Service,Customer Success Manager,37,4,4,4,4,2,6138,21,2,5,4,17,15,Travel_Rarely,No,No
EMP_01086,Steven King,Male,Engineering,DevOps Engineer,49,2,3,2,3,1,5032,17,0,5,4,12,1,Travel_Frequently,No,Yes
EMP_00692,Matthew Wright,Female,Quality Assurance,QA Engineer,47,2,2,4,3,3,11757,12,1,5,1,10,13,Travel_Rarely,No,No
EMP_01688,Barbara White,Female,Research & Development,Research Scientist,38,2,2,4,2,3,8610,14,0,7,4,14,23,Non-Travel,No,No
EMP_01620,Steven Wilson,Female,IT,System Administrator,40,1,4,2,2,2,8932,16,0,3,3,12,2,Travel_Frequently,No,No
EMP_00281,Ronald Hall,Male,Administration,Office Manager,51,2,3,4,4,4,10282,24,2,20,5,26,9,Non-Travel,Yes,No
EMP_01695,Joseph Wilson,Female,IT,System Administrator,47,3,4,3,2,1,6923,12,1,10,5,24,24,Travel_Rarely,Yes,No
EMP_01492,Kevin Baker,Male,Marketing,Marketing Specialist,25,3,3,3,4,4,7132,13,2,4,4,4,18,Travel_Rarely,Yes,No
EMP_00613,Dorothy Nelson,Male,Marketing,Digital Marketing,33,3,2,3,2,3,10972,25,3,6,1,6,18,Non-Travel,No,No
EMP_01015,Timothy Brown,Male,Human Resources,Recruiter,25,3,3,4,1,4,4265,11,0,4,0,4,16,Travel_Frequently,No,No
EMP_00644,Margaret Nguyen,Female,Human Resources,Training Manager,53,2,4,4,3,3,12007,24,2,6,1,11,1,Travel_Rarely,Yes,No
EMP_01901,Robert Lewis,Male,Research & Development,R&D Manager,30,2,2,1,3,2,3950,14,0,3,3,6,11,Travel_Frequently,No,Yes
EMP_01391,Christopher Anderson,Male,Product,Product Owner,25,2,4,4,4,4,7095,20,3,3,1,3,9,Travel_Rarely,Yes,No
EMP_01567,Thomas Miller,Male,Administration,Executive Assistant,30,3,3,3,3,3,10006,17,3,8,0,8,23,Travel_Frequently,Yes,No
EMP_01224,Anthony Wilson,Male,IT,IT Manager,45,2,4,3,3,3,10062,21,0,10,3,10,7,Travel_Rarely,Yes,No
EMP_01655,Robert Thomas,Male,Research & Development,Research Scientist,42,3,4,2,3,2,9531,16,0,7,5,18,23,Travel_Frequently,No,No
EMP_01447,Timothy Rivera,Male,Quality Assurance,Quality Manager,44,2,3,2,2,4,6236,19,1,8,1,9,24,Non-Travel,Yes,No
EMP_00361,James Ramirez,Female,Finance,Controller,43,4,4,3,3,2,10317,23,1,5,4,12,14,Non-Travel,No,No
EMP_01665,Robert Hernandez,Female,Finance,Accountant,25,3,3,4,2,3,4348,13,3,10,5,10,22,Travel_Rarely,No,No
EMP_01263,James Thomas,Male,Sales,Business Development,28,1,2,3,1,4,4189,21,0,6,4,6,18,Non-Travel,No,Yes
EMP_00285,Jennifer Young,Male,Research & Development,R&D Engineer,49,2,2,3,3,3,14570,23,2,8,2,26,7,Travel_Rarely,No,No
EMP_01526,Kevin Jackson,Female,Research & Development,R&D Engineer,42,1,3,4,3,4,6946,20,1,8,3,18,10,Travel_Rarely,Yes,Yes
EMP_01875,Nancy Perez,Male,Quality Assurance,QA Lead,38,2,2,1,2,2,6394,15,0,5,0,5,18,Travel_Frequently,Yes,Yes
EMP_00718,David Taylor,Female,Customer Service,Support Specialist,54,3,4,2,4,4,7464,20,0,8,1,21,15,Non-Travel,No,No
EMP_01240,Robert Rodriguez,Female,Customer Service,Support Specialist,45,4,4,2,2,3,9846,14,1,5,3,15,3,Travel_Rarely,No,No
EMP_01475,Sandra Jackson,Female,Legal,Contract Specialist,25,2,3,3,4,1,9575,14,2,6,5,6,19,Travel_Frequently,No,No
EMP_00528,Thomas Martinez,Female,Administration,Receptionist,36,4,3,2,2,3,14332,23,3,13,4,13,17,Travel_Rarely,No,No
EMP_01368,Ryan Martin,Male,Operations,Quality Specialist,43,4,3,3,3,2,10296,12,3,4,3,16,9,Travel_Rarely,No,No
EMP_01607,Timothy Hernandez,Female,Quality Assurance,Quality Manager,50,2,4,4,2,3,5208,16,0,5,0,10,6,Travel_Frequently,No,Yes
EMP_00559,Barbara Anderson,Male,Customer Service,Support Specialist,31,4,4,3,4,4,9312,16,0,8,3,9,13,Non-Travel,Yes,No
EMP_01034,William Robinson,Female,Product,UX Designer,37,1,4,2,4,2,6367,15,2,10,0,13,13,Travel_Rarely,No,Yes
EMP_00712,Anthony Clark,Female,Sales,Sales Representative,44,2,3,4,4,3,8691,12,2,10,10,14,19,Non-Travel,No,No
EMP_01459,Joseph Davis,Male,Finance,Financial Analyst,31,3,2,3,3,4,6599,22,1,1,1,5,22,Travel_Rarely,Yes,Yes
EMP_01158,Timothy Lewis,Female,Sales,Sales Director,47,1,2,2,2,2,5424,11,0,7,3,20,5,Non-Travel,Yes,No
EMP_01311,Karen Green,Female,Legal,Compliance Officer,24,3,3,3,3,2,6811,15,0,5,2,5,23,Travel_Rarely,No,No
EMP_00289,William Hill,Female,Supply Chain,Supply Chain Analyst,48,2,2,2,3,4,7065,24,0,17,10,18,15,Non-Travel,No,No
EMP_01436,Laura Taylor,Male,Legal,Contract Specialist,45,1,3,3,1,3,10826,22,0,10,3,10,4,Travel_Frequently,Yes,No
EMP_00887,Betty Robinson,Male,Sales,Sales Representative,28,4,4,2,2,3,14994,19,0,3,2,7,18,Non-Travel,No,No
EMP_01636,Karen Taylor,Female,Operations,Operations Analyst,35,2,2,2,1,3,6074,11,2,6,6,9,8,Travel_Rarely,No,No
EMP_01446,Susan Miller,Female,Supply Chain,Supply Chain Analyst,50,1,4,1,3,3,8780,13,1,4,1,15,13,Travel_Frequently,No,No
EMP_01247,William Thompson,Female,Supply Chain,Logistics Manager,46,4,2,4,4,1,6857,21,1,5,3,5,7,Travel_Rarely,Yes,No
EMP_01416,Ryan Hernandez,Male,Human Resources,Recruiter,35,1,4,2,4,3,4735,16,3,1,1,2,11,Travel_Rarely,No,No
EMP_00884,Carol Jones,Female,Human Resources,HR Specialist,32,3,2,4,2,3,11019,20,0,4,2,9,11,Non-Travel,No,No
EMP_01642,Margaret Hill,Female,Sales,Business Development,33,2,3,2,2,2,10836,11,1,9,2,11,9,Travel_Rarely,Yes,No
EMP_00987,Robert Williams,Female,Supply Chain,Procurement Specialist,40,3,2,4,3,2,13616,19,2,16,3,16,1,Non-Travel,No,No
EMP_00142,Mark Williams,Female,Supply Chain,Supply Chain Analyst,36,4,2,4,4,4,14027,23,1,9,4,12,15,Travel_Frequently,No,No
EMP_01270,Richard Lopez,Male,Finance,Financial Analyst,50,2,3,4,3,3,4468,13,1,9,4,25,8,Travel_Rarely,No,No
EMP_01490,Michelle Wright,Female,Supply Chain,Procurement Specialist,31,1,3,1,3,2,4239,19,0,3,3,6,24,Travel_Frequently,No,No
EMP_00649,Mark Taylor,Female,Engineering,Engineering Manager,29,2,4,3,3,4,9681,23,3,5,4,5,16,Travel_Rarely,No,No
EMP_00622,Jennifer Brown,Male,Operations,Operations Analyst,30,3,4,3,4,4,11540,13,1,4,2,4,3,Travel_Rarely,No,No
EMP_00605,Margaret Moore,Female,Customer Service,Customer Success Manager,53,4,2,3,3,3,10614,16,0,19,7,25,15,Travel_Frequently,No,No
EMP_00031,Dorothy Thompson,Male,Product,Product Owner,40,2,2,4,3,4,6530,14,2,12,5,14,20,Non-Travel,No,No
EMP_01999,Thomas Hill,Male,Research & Development,R&D Manager,27,2,2,2,1,2,6715,12,0,5,2,5,29,Travel_Rarely,No,Yes
EMP_00821,Barbara Johnson,Female,Supply Chain,Inventory Manager,52,4,4,2,2,4,12054,16,2,13,4,19,13,Travel_Rarely,Yes,No
EMP_01673,Timothy Scott,Male,Engineering,Technical Lead,34,3,3,2,3,4,6162,14,3,2,2,4,8,Non-Travel,No,No
